tconst,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,globalEpisode
tt11748904,8.3,17891,tt11737520,1,1,1
tt11758442,8.3,16028,tt11737520,1,2,2
tt11758446,7.7,15225,tt11737520,1,3,3
tt11758452,8,14865,tt11737520,1,4,4
tt11758462,8.9,24227,tt11737520,1,5,5
tt11758464,8.6,14679,tt11737520,1,6,6
tt11758476,8.6,14540,tt11737520,1,7,7
tt11758482,9.1,25457,tt11737520,1,8,8
tt29137511,8.3,8182,tt11737520,2,1,9
tt38079830,8.4,7536,tt11737520,2,2,10
tt38079831,8.7,7434,tt11737520,2,3,11
tt38079833,8.2,6697,tt11737520,2,4,12
tt38079834,8.4,6624,tt11737520,2,5,13
tt38079837,8.3,6423,tt11737520,2,6,14
tt38079840,9.4,10193,tt11737520,2,7,15
tt38752902,8.8,7249,tt11737520,2,8,16
